TP_FUNDO,CNPJ_FUNDO,DT_COMPTC,VL_TOTAL,VL_QUOTA,VL_PATRIM_LIQ,CAPTC_DIA,RESG_DIA,NR_COTST
FI,00.017.024/0001-53,8/1/23,1101441.42,"32,897,993,900,000",1106879.33,0.00,0.00,1
FI,00.017.024/0001-53,8/2/23,1102008.01,"32,912,367,200,000",1107362.93,0.00,0.00,1
FI,00.017.024/0001-53,8/3/23,1102567.38,"32,926,972,300,000",1107854.33,0.00,0.00,1
FI,00.068.305/0001-35,8/1/23,38146599.43,"33,765,570,000,000",38140273.11,0.00,6507.17,6111
FI,00.068.305/0001-35,8/2/23,38171349.17,"33,785,428,000,000",38162704.68,0.00,0.00,6111
FI,00.068.305/0001-35,8/3/23,38191579.87,"33,802,958,000,000",38180609.63,0.00,1895.89,6109
FI,00.071.477/0001-68,8/1/23,2270830413.89,"12,106,908,509,000",2270673036.81,279921.49,6787799.78,51494
FI,00.071.477/0001-68,8/2/23,2266416805.29,"12,112,265,319,000",2266261638.64,82980.23,5499070.99,51452
FI,00.071.477/0001-68,8/3/23,2262243065.74,"12,117,761,315,000",2262087321.86,43008.88,5245665.83,51401
FI,00.073.041/0001-08,8/1/23,12287959.43,"35,584,406,400,000",12279051.06,0.00,0.00,804
FI,00.073.041/0001-08,8/2/23,12293927.60,"35,601,643,400,000",12284998.99,0.00,0.00,804
FI,00.073.041/0001-08,8/3/23,12299896.20,"35,618,881,600,000",12290947.35,0.00,0.00,804
FI,00.083.181/0001-67,8/1/23,17651561954.87,"854,350,393,180,000",17651322876.72,0.00,0.00,4
FI,00.083.181/0001-67,8/2/23,17571007253.96,"850,450,886,700,000",17570757047.54,0.00,0.00,4
FI,00.083.181/0001-67,8/3/23,17582390615.78,"851,002,030,840,000",17582143971.69,0.00,0.00,4
FI,00.089.915/0001-15,8/1/23,17831325.63,"99,264,415,600,000",17872643.21,0.00,2011.66,112
FI,00.089.915/0001-15,8/2/23,17794256.71,"99,307,739,900,000",17834219.97,4241.32,50465.14,111
FI,00.089.915/0001-15,8/3/23,17784477.32,"99,353,906,300,000",17824510.76,0.00,18000.01,111
FI,00.102.322/0001-41,8/1/23,55697959.09,"6,048,567,600,000",57474936.30,0.00,0.00,1
FI,00.102.322/0001-41,8/2/23,54938043.15,"5,968,792,900,000",56716898.48,0.00,0.00,1
FI,00.102.322/0001-41,8/3/23,55630929.41,"6,044,556,400,000",57436820.82,0.00,0.00,1
FI,00.180.995/0001-10,8/1/23,138508466.62,"690,126,470,000,000",138549779.76,134000.00,50666.30,810
FI,00.180.995/0001-10,8/2/23,138308297.63,"690,388,231,000,000",138331751.44,1560.00,272139.41,807
FI,00.180.995/0001-10,8/3/23,138459778.80,"691,191,945,000,000",138470118.93,28500.00,51171.07,807
FI,00.185.259/0001-54,8/1/23,508894945.87,"51,275,246,250,000",505420732.36,100000.00,0.00,110
FI,00.185.259/0001-54,8/2/23,504897460.74,"50,965,038,850,000",504568014.18,2205000.00,0.00,112
FI,00.185.259/0001-54,8/3/23,504978446.37,"50,969,159,950,000",504588814.24,0.00,20000.00,112
FI,00.194.256/0001-87,8/1/23,4849189195.64,"60,036,134,127,000",4849041084.26,30545467.99,8049635.21,35
FI,00.194.256/0001-87,8/2/23,4889679763.13,"60,052,533,958,000",4889529561.23,46731910.91,7568027.13,35
